电影名称,导演,主演,类型,制片国家/地区,时长,评分,评价人数
寻梦环游记,李·昂克里奇,安东尼·冈萨雷斯&&盖尔·加西亚·贝纳尔&&本杰明·布拉特&&阿兰娜·乌巴赫&&芮妮·维克托&&杰米·卡米尔&&阿方索·阿雷奥&&赫伯特·西古恩萨&&加布里埃尔·伊格莱西亚斯&&隆巴多·博伊尔&&安娜·奥菲丽亚·莫吉亚&&娜塔丽·科尔多瓦&&赛琳娜·露娜&&爱德华·詹姆斯·奥莫斯&&索菲亚·伊斯皮诺萨&&卡拉·梅迪纳&&黛娅娜·欧特里&&路易斯·瓦尔德斯&&布兰卡·阿拉切利&&萨尔瓦多·雷耶斯&&切奇·马林&&奥克塔维·索利斯&&约翰·拉岑贝格,喜剧&&动画&&音乐&&奇幻,美国,105,9.1,1054618
盗梦空间,克里斯托弗·诺兰,莱昂纳多·迪卡普里奥&&约瑟夫·高登-莱维特&&艾伦·佩吉&&汤姆·哈迪&&渡边谦&&迪利普·劳&&基里安·墨菲&&汤姆·贝伦杰&&玛丽昂·歌迪亚&&皮特·波斯尔思韦特&&迈克尔·凯恩&&卢卡斯·哈斯&&李太力&&克莱尔·吉尔蕾&&马格努斯·诺兰&&泰勒·吉蕾&&乔纳森·吉尔&&水源士郎&&冈本玉二&&厄尔·卡梅伦&&瑞恩·海沃德&&米兰达·诺兰&&拉什·费加&&蒂姆·科勒赫&&妲露拉·莱莉,剧情&&科幻&&悬疑&&冒险,美国,148,9.3,1454290
绿皮书,彼得·法雷里,维果·莫腾森&&马赫沙拉·阿里&&琳达·卡德里尼&&塞巴斯蒂安·马尼斯科&&迪米特·D·马里诺夫&&迈克·哈顿&&P·J·伯恩&&乔·柯蒂斯&&玛姬·尼克松&&冯·刘易斯&&乔恩·索特兰&&唐·斯达克&&安东尼·曼加诺&&保罗·斯隆&&珍娜·劳伦索&&肯尼斯·以色列&&伊克博·塞巴&&尼克·瓦莱隆加&&大卫·安&&迈克·切罗内&&杰拉尔丁·辛格&&马丁·巴特斯·布拉德福德&&格拉伦·布莱恩特·班克斯&&汤姆·维图&&夏恩·帕特洛&&丹尼斯·W·霍尔&&吉姆·克洛克&&戴恩·罗兹&&布赖恩·斯特帕尼克&&乔恩·迈克尔·戴维斯&&布莱恩·库瑞&&托尼亚·马尔多纳多,剧情&&喜剧&&传记,美国,130,8.9,1054050
饥饿站台,加尔德·加兹特鲁·乌鲁蒂亚,伊万·马萨格&&佐里昂·伊圭里奥尔&&安东尼亚·圣胡安&&埃米利奥·布阿勒&&亚历山德拉·玛桑凯&&马里奥·帕尔多&&阿尔吉斯·阿洛斯卡斯&&米莉安·马丁&&Zihara Llana&&Txubio Fernández de Jáuregui&&Eric Goode&&Óscar Oliver&&Chema Trujillo&&Gorka Zufiaurre&&Miriam K. Martxante,科幻&&惊悚,西班牙,94,7.8,176472
你的名字。,新海诚,神木隆之介&&上白石萌音&&长泽雅美&&市原悦子&&成田凌&&悠木碧&&岛崎信长&&石川界人&&谷花音&&寺杣昌纪&&大原沙耶香&&井上和彦&&茶风林&&加藤有花&&花泽香菜&&寺崎裕香,剧情&&爱情&&动画,日本,106,8.4,966562
海上钢琴师,朱塞佩·托纳多雷,蒂姆·罗斯&&普路特·泰勒·文斯&&比尔·努恩&&克兰伦斯·威廉姆斯三世&&梅兰尼·蒂埃里&&皮特·沃恩&&尼尔·奥布赖恩&&阿尔贝托·巴斯克斯&&加布里埃莱·拉维亚&&科里·巴克&&西德尼·科尔&&Luigi De Luca&&尼古拉·迪·平托&&费米·依鲁福祖&&伊斯顿·盖奇&&凯文·麦克纳利&&布莱恩·普林格&&沙拉·鲁宾&&希思科特·威廉姆斯&&阿妮妲·扎格利亚&&安吉洛·迪洛雷塔,剧情&&音乐,意大利,165,9.3,1211983
当幸福来敲门,加布里埃莱·穆奇诺,威尔·史密斯&&贾登·史密斯&&坦迪·牛顿&&布莱恩·豪威 &&詹姆斯·凯伦&&丹·卡斯泰兰尼塔&&柯特·富勒&&塔卡尤·费舍尔&&凯文·韦斯特&&乔治·张&&戴维·迈克尔·西尔弗曼&&多米尼克·博夫&&杰弗·卡伦&&乔伊芙·拉文&&斯科特·克拉斯,剧情&&家庭&&传记,美国,117,9.1,1075978
复仇者联盟4：终局之战,安东尼·罗素,小罗伯特·唐尼&&克里斯·埃文斯&&马克·鲁弗洛&&克里斯·海姆斯沃斯&&斯嘉丽·约翰逊&&杰瑞米·雷纳&&保罗·路德&&凯伦·吉兰&&唐·钱德尔&&布丽·拉尔森&&布莱德利·库珀&&泰莎·汤普森&&汤姆·赫兰德&&伊丽莎白·奥尔森&&本尼迪克特·康伯巴奇&&蒂尔达·斯文顿&&格温妮斯·帕特洛&&蕾妮·罗素&&约翰·斯拉特里&&查德维克·博斯曼&&安东尼·麦凯&&塞巴斯蒂安·斯坦&&克里斯·帕拉特&&汤姆·希德勒斯顿&&佐伊·索尔达娜&&丹娜·奎里拉&&本尼迪克特·王&&庞·克莱门捷夫&&戴夫·巴蒂斯塔&&利蒂希娅·赖特&&伊万杰琳·莉莉&&乔恩·费儒&&海莉·阿特维尔&&娜塔莉·波特曼&&玛丽莎·托梅&&塔伊加·维迪提&&安吉拉·贝塞特&&迈克尔·道格拉斯&&米歇尔·菲佛&&威廉·赫特&&寇碧·史莫德斯&&肖恩·古恩&&温斯顿·杜克&&琳达·卡德里尼&&马克斯米利亚诺·赫尔南德斯&&弗兰克·格里罗&&真田广之&&汤姆-沃恩-劳勒&&詹姆斯·达西&&雅各布·巴特朗&&范·迪塞尔&&罗伯特·雷德福&&乔什·布洛林&&塞缪尔·杰克逊&&伊薇特·尼科尔·布朗&&卡梅伦·布鲁姆布罗&&蒂莫西·卡尔&&凯瑞·康顿&&迈克尔·A·库克&&凯莉·库恩&&艾玛·福尔曼&&雷纳·加拉赫&&丹妮拉·加斯基&&郑肯&&小弗洛伊德·安东尼·约翰&&斯坦·李&&罗斯·马昆德&&布伦特·麦吉&&迈克尔·皮耶里诺·米勒&&卡兰·马尔韦&&泰瑞·诺塔里&&吉米·雷·皮肯斯&&迈克尔·詹姆斯·肖&&泰·辛普金斯&&格雷格·蒂芬,动作&&科幻&&奇幻&&冒险,美国,181,8.5,834338
我和我的祖国,陈凯歌,黄渤&&张译&&韩昊霖&&杜江&&葛优&&刘昊然&&宋佳&&王千源&&任素汐&&吴京&&朱一龙&&王东&&陈飞宇&&佟丽娅&&欧豪&&张嘉译&&惠英红&&龚蓓苾&&田壮壮&&韩东君&&辛柏青&&周冬雨&&任达华&&江珊&&王砚辉&&耿乐&&姜武&&梁静&&佟大为&&魏晨&&胡军&&王天辰&&彭昱畅&&罗海琼&&郭丞&&周依然&&樊雨洁&&刘涛&&马伊琍&&张建亚&&徐峥&&王洛勇&&高亚麟&&王道铁&&程禹森&&马书良&&景海鹏&&陈冬&&雷佳音&&张子枫&&陶虹&&郭京飞&&袁文康&&贾晨飞&&邵汶&&张芝华&&段博文&&郎平,剧情,中国大陆,155,7.7,724342
忠犬八公的故事,拉斯·霍尔斯道姆,理查·基尔&&萨拉·罗默尔&&琼·艾伦&&罗比·萨布莱特&&艾瑞克·阿瓦利&&田川洋行&&杰森·亚历山大&&罗伯特·卡普荣,剧情,美国,93,9.4,1008698
