电视剧名称,导演,主演,类型,制片国家/地区,年份,评分,评价人数
白夜追凶,王伟,潘粤明&&王泷正&&梁缘&&吕晓霖&&尹姝贻&&侯雪龙&&宋乃刚&&王余阳&&博超&&李胜强&&韩烨洲&&杨凯迪&&马薇&&张栋栋&&李振涛&&李胜荣&&张芯宁&&岳士涵&&吴文璟&&刘柏希&&黄烁文&&孙蛟龙&&周军&&王政&&梁刚&&高梓刚&&刘辛格&&曾子建&&刘天蔚&&王剑明&&张兆忠&&张璐&&刘宣&&陈伟&&鹿时源&&孙建江&&孙乐天&&张美琪&&国立刚&&杨大为&&宋永恒&&天笑&&秦海&&杨阳&&宁小花&&高果&&于京京,剧情&&悬疑&&犯罪,中国大陆,2017,9.0,368346
后宫·甄嬛传,郑晓龙,孙俪&&陈建斌&&蔡少芬&&李东学&&蒋欣&&陶昕然&&斓曦&&孙茜&&张晓龙&&刘雪华&&李天柱&&蓝盈莹&&张雅萌&&杨紫嫣&&陈思斯&&万美汐&&热依扎&&李宜娟&&战菁一&&唐艺昕&&谭松韵&&徐璐&&毛晓彤&&康福震&&杨凯淳&&刘钇彤&&赵秦&&王文杰&&颖儿&&郭萱&&邬立朋&&沈保平&&梁艺馨&&杨淇&&何亚男&&李佳璇&&王一鸣,剧情&&古装,中国大陆,2011,9.2,294270
人间课堂,金镇民,金东希&&朴珠贤&&郑多彬&&南允洙&&崔民秀&&朴浩山,剧情&&犯罪,韩国,2020,8.4,6040
夫妻的世界,毛完日,金喜爱&&朴海俊&&韩素希&&朴善英&&金永敏&&蔡国熙&&李璟荣&&金宣敬&&沈恩宇&&李学周,剧情,韩国,2020,8.1,33229
国王：永远的君主,白尚勋,李敏镐&&金高银&&禹棹焕&&金景南&&郑恩彩&&李廷镇&&金英玉&&全裴修&&徐正妍&&朴元尚&&金容芝&&张海珉 ,剧情&&奇幻,韩国,2020,7.5,23924
致命女人,大卫·格罗斯曼,刘玉玲&&金妮弗·古德温&&柯尔比·豪威尔-巴普蒂斯特&&杰克·达文波特&&山姆·贾格&&里德·斯科特&&亚历珊德拉·达达里奥&&赛迪·卡尔瓦诺&&里奥·霍华德&&艾丽莎·科波拉&&凯蒂·芬内朗&&凯文·丹尼尔斯&&琳赛·卡夫&&安娜丽·提普顿&&李丽君&&菲利普·安东尼-罗德里格斯&&斯科特·波特&&亚当·费拉拉&&斯宾塞·加雷特&&罗伯特·甘特,剧情&&喜剧&&犯罪,美国,2019,9.3,384659
武林外传,尚敬,闫妮&&姚晨&&沙溢&&喻恩泰&&姜超&&倪虹洁&&王莎莎&&范明&&肖剑&&于娟&&张歆艺&&张青&&吴明鸿&&张少华&&霍曼迪&&黄小蕾&&徐贤海&&梁振亚&&刘亚津&&郑美林&&王磊&&俞白眉&&王庆&&刘向东&&全权&&刘旭&&张跃&&甄夌娟&&刘敏&&蒋卉&&唐静&&娄茗&&沈怀玲&&杨树泉&&曾惠&&王彦波&&王修浩&&裴庆臣&&胡宁芳&&洪剑涛&&田玲&&宁财神&&程娇娥&&王超&&许可&&唐峻&&王向明&&陈铮&&吴京安&&安伯平&&李业勇&&柳长海&&邓峰&&齐俊生&&帅华生&&郭振营&&马爱国&&马怀平&&毛孩&&周炜&&林永健&&朱龙广&&张滨&&赵金鼎&&王红波&&刘惠&&商子见&&张茜&&李名辉&&许翔宇&&李景琛&&于又川&&李乐衡&&邵方&&钟久夫&&赵旭&&黄晓娟&&白志迪&&周明汕&&周冬齐&&石小满&&周颖&&夏嘉伟&&白玉&&马锐&&周小刚&&胡小庭&&邱晨&&张楠&&李晓强&&张婷&&王学圻&&陈智彬&&孙鹏&&刘立淇&&陈小雷&&周童&&宋思嘉&&王佳佳&&句号&&邵峰&&王丽云&&原铭&&张乔玫&&凌潇肃&&綦小卉,喜剧&&武侠&&古装,中国大陆,2006,9.5,282956
风骚律师,布朗温·休斯,鲍勃·奥登科克&&乔纳森·班克斯&&蕾亚·塞洪&&帕特里克·法比安&&迈克尔·曼多&&吉安卡罗·埃斯波西托&&马克·马戈利斯&&凯瑞·康顿&&托尼·达尔顿&&乔希·法德姆&&耶利米·比特绥&&朱利安·邦菲格里奥&&胡安·卡洛斯·坎图&&迪恩·诺里斯&&拉韦尔·克劳福德&&罗兰·巴克三世&&蒂莫西·卡尔&&阿利森·金,剧情&&犯罪,美国,2020,9.7,19912
孤单又灿烂的神：鬼怪,李应福,孔侑&&金高银&&李栋旭&&刘仁娜&&陆星材&&金所泫&&金旻载&&赵宇镇&&李艾&&崔雄,剧情,韩国,2016,8.7,267900
亲爱的，热爱的,李青蓉,杨紫&&李现&&胡一天&&李鸿其&&李泽锋&&姜珮瑶&&王乐君&&许乐骁&&余承恩&&李明德&&文苡帆&&王真儿&&史卿妍&&王策&&朱盛平&&曲献平&&陈希郡&&华波波&&梁爱琪&&陈帅,剧情&&爱情,中国大陆,2019,6.6,321694
