关键词,id,类型,标题,评分,评价人数,年份,简介,链接
Captain America: Civil War,25820460,电影,美国队长3 ,7.9,388567,2016,原名:Captain America: Civil War / 安东尼·罗素 / 克里斯·埃文斯 / 2016,https://www.douban.com/link2/?url=https%3A%2F%2Fmovie.douban.com%2Fsubject%2F25820460%2F&query=Captain+America%3A+Civil+War&cat_id=1002&type=search&pos=0
Captain America: Civil War,26746792,音乐,Captain America: Civil War ,6.3,229,2016,亨利·杰克曼 Henry Jackman / 原声 / 2016,https://www.douban.com/link2/?url=https%3A%2F%2Fmusic.douban.com%2Fsubject%2F26746792%2F&query=Captain+America%3A+Civil+War&cat_id=1003&type=search&pos=1
Captain America: Civil War,34561862,音乐,Captain America: Civil War (Original Motion Picture Soundtrack) ,(目前无人评价),,2016,Henry Jackman / 原声配乐 / 2016,https://www.douban.com/link2/?url=https%3A%2F%2Fmusic.douban.com%2Fsubject%2F34561862%2F&query=Captain+America%3A+Civil+War&cat_id=1003&type=search&pos=2
Captain America: Civil War,26685603,书籍,Marvel's Captain America: Civil War ,8.7,15,2016,Marvel Comics / Marvel / 2016,https://www.douban.com/link2/?url=https%3A%2F%2Fbook.douban.com%2Fsubject%2F26685603%2F&query=Captain+America%3A+Civil+War&cat_id=1001&type=search&pos=3
Captain America: Civil War,2068239,书籍,Captain America: Civil War ,(评价人数不足),,2007,Ed Brubaker / Marvel / 2007,https://www.douban.com/link2/?url=https%3A%2F%2Fbook.douban.com%2Fsubject%2F2068239%2F&query=Captain+America%3A+Civil+War&cat_id=1001&type=search&pos=4
Captain America: Civil War,33443583,书籍,Captain America: Civil War ,(评价人数不足),,2019,美国漫威公司 / 华东理工大学出版社 / 2019,https://www.douban.com/link2/?url=https%3A%2F%2Fbook.douban.com%2Fsubject%2F33443583%2F&query=Captain+America%3A+Civil+War&cat_id=1001&type=search&pos=5
Captain America: Civil War,6390823,电影,美国队长2 ,8.0,369983,2014,原名:Captain America: The Winter Soldier / 安东尼·罗素 / 克里斯·埃文斯 / 2014,https://www.douban.com/link2/?url=https%3A%2F%2Fmovie.douban.com%2Fsubject%2F6390823%2F&query=Captain+America%3A+Civil+War&cat_id=1002&type=search&pos=6
Captain America: Civil War,679167,小组,美国内战史 American Civil War History,,,,,https://www.douban.com/link2/?url=http%3A%2F%2Fwww.douban.com%2Fgroup%2FACW%2F&query=Captain+America%3A+Civil+War&cat_id=1019&type=search&pos=7
Captain America: Civil War,30341209,电影,美国队长：内战之路 ,8.1,101,2016,原名:Captain America: The Road to Civil War / 乔·罗素 / 2016,https://www.douban.com/link2/?url=https%3A%2F%2Fmovie.douban.com%2Fsubject%2F30341209%2F&query=Captain+America%3A+Civil+War&cat_id=1002&type=search&pos=8
Captain America: Civil War,2138838,电影,美国队长 ,7.0,295761,2011,原名:Captain America: The First Avenger / 乔·庄斯顿 / 克里斯·埃文斯 / 2011,https://www.douban.com/link2/?url=https%3A%2F%2Fmovie.douban.com%2Fsubject%2F2138838%2F&query=Captain+America%3A+Civil+War&cat_id=1002&type=search&pos=9
Captain America: Civil War,,小站,The.Civil.War,,,,,https://www.douban.com/link2/?url=https%3A%2F%2Fsite.douban.com%2F153810%2F&query=Captain+America%3A+Civil+War&cat_id=2012&type=search&pos=10
Captain America: Civil War,30341203,电影,团结即胜利，分裂即失败：美国队长3幕后制作 ,(暂无评分),,2016,"原名:United We Stand, Divided We Fall: The Making of 'Captain America: Civil War' / 凯文·费奇 / 2016",https://www.douban.com/link2/?url=https%3A%2F%2Fmovie.douban.com%2Fsubject%2F30341203%2F&query=Captain+America%3A+Civil+War&cat_id=1002&type=search&pos=11
Captain America: Civil War,1432662,电视剧,美国内战 ,9.1,265,1990,原名:The Civil War / 肯·伯恩斯 / 萨姆·沃特森 / 1990,https://www.douban.com/link2/?url=https%3A%2F%2Fmovie.douban.com%2Fsubject%2F1432662%2F&query=Captain+America%3A+Civil+War&cat_id=1002&type=search&pos=12
Captain America: Civil War,33405526,电视剧,重建时期：南北战争之后的美国 ,(暂无评分),,2019,原名:Reconstruction: America after The Civil War / 亨利·路易斯·盖茨 / 2019,https://www.douban.com/link2/?url=https%3A%2F%2Fmovie.douban.com%2Fsubject%2F33405526%2F&query=Captain+America%3A+Civil+War&cat_id=1002&type=search&pos=13
Captain America: Civil War,5967023,电影,西班牙内战 ,9.3,65,1983,原名:The Spanish Civil War / 弗兰克·芬莱 / 1983,https://www.douban.com/link2/?url=https%3A%2F%2Fmovie.douban.com%2Fsubject%2F5967023%2F&query=Captain+America%3A+Civil+War&cat_id=1002&type=search&pos=14
Captain America: Civil War,3925072,电影,美国队长 ,7.1,2648,1990,原名:Captain America / 阿尔伯特·派恩 / 马特·塞林格 / 1990,https://www.douban.com/link2/?url=https%3A%2F%2Fmovie.douban.com%2Fsubject%2F3925072%2F&query=Captain+America%3A+Civil+War&cat_id=1002&type=search&pos=15
Captain America: Civil War,30341208,电影,钢铁侠：内战之路 ,8.5,183,2016,原名:Iron Man: The Road to Civil War / 凯文·费奇 / 2016,https://www.douban.com/link2/?url=https%3A%2F%2Fmovie.douban.com%2Fsubject%2F30341208%2F&query=Captain+America%3A+Civil+War&cat_id=1002&type=search&pos=16
Captain America: Civil War,33415864,电视剧,鲜血与荣耀：彩色的南北战争 ,(暂无评分),,2015,原名:Blood and Glory: The Civil War in Color / 罗伯特·克洛特沃西 / 2015,https://www.douban.com/link2/?url=https%3A%2F%2Fmovie.douban.com%2Fsubject%2F33415864%2F&query=Captain+America%3A+Civil+War&cat_id=1002&type=search&pos=17
Captain America: Civil War,4089909,电视剧,美国队长 ,(暂无评分),,1966,原名:Captain America / Grant Simmons / 约翰·沃侬 / 1966,https://www.douban.com/link2/?url=https%3A%2F%2Fmovie.douban.com%2Fsubject%2F4089909%2F&query=Captain+America%3A+Civil+War&cat_id=1002&type=search&pos=18
Captain America: Civil War,25942186,电影,钢铁侠与美国队长：英雄集结 ,6.5,1799,2014,原名:Iron Man & Captain America: Heroes United / 埃里克·拉多姆斯基 / 亚德里安·帕斯达 / 2014,https://www.douban.com/link2/?url=https%3A%2F%2Fmovie.douban.com%2Fsubject%2F25942186%2F&query=Captain+America%3A+Civil+War&cat_id=1002&type=search&pos=19
Captain America: Civil War,137351431,,civil war,,,,,https://www.douban.com/link2/?url=https%3A%2F%2Fwww.douban.com%2Fpeople%2F137351431%2F&query=Captain+America%3A+Civil+War&cat_id=&type=search&pos=0
Captain America: Civil War,147553400,,Civil War,,,,,https://www.douban.com/link2/?url=https%3A%2F%2Fwww.douban.com%2Fpeople%2F147553400%2F&query=Captain+America%3A+Civil+War&cat_id=&type=search&pos=1
Captain America: Civil War,164724682,,Civil War,,,,,https://www.douban.com/link2/?url=https%3A%2F%2Fwww.douban.com%2Fpeople%2F164724682%2F&query=Captain+America%3A+Civil+War&cat_id=&type=search&pos=2
Captain America: Civil War,160992448,,civil-war,,,,,https://www.douban.com/link2/?url=https%3A%2F%2Fwww.douban.com%2Fpeople%2F160992448%2F&query=Captain+America%3A+Civil+War&cat_id=&type=search&pos=3
