英文名,movie_id,电影名称,贴图,导演,编剧,主演,类型,制片国家/地区,语言,上映日期,又名,IMDb链接,片长,年份,评分,评价人数,短评数,影评数,简介,链接
Captain America: Civil War,25820460,美国队长3 Captain America: Civil War,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2332503406.webp,安东尼·罗素,克里斯托弗·马库斯 / 斯蒂芬·麦克菲利 / 杰克·科比 / 乔·西蒙,克里斯·埃文斯 / 小罗伯特·唐尼 / 斯嘉丽·约翰逊 / 塞巴斯蒂安·斯坦 / 安东尼·麦凯 / 唐·钱德尔 / 杰瑞米·雷纳 / 查德维克·博斯曼 / 保罗·贝坦尼 / 伊丽莎白·奥尔森 / 保罗·路德 / 艾米丽·万凯普 / 汤姆·赫兰德 / 丹尼尔·布鲁尔 / 弗兰克·格里罗 / 威廉·赫特 / 马丁·弗瑞曼 / 霍普·戴维斯 / 玛丽莎·托梅 / 吉姆·拉什 / 金世佳,动作 / 科幻 / 冒险,美国, 科萨语 / 英语 / 德语 / 俄语 / 罗马尼亚语,2016-05-06(中国大陆/美国) / 2016-04-12(加州首映), 美国队长3：内战 / 美国队长3：英雄内战(港/台) / 美队3 / Captain America 3,https://www.imdb.com/title/tt3498820,148分钟(中国大陆),2016,7.9,388579,89756,1846,　　美国队长史蒂夫·罗杰斯（克里斯·埃文斯ChrisEvans饰）带领着全新组建的复仇者联盟，继续维护世界和平。然而，一次执行任务时联盟成员不小心造成大量平民伤亡，从而激发政治压力，政府决定通过一套监管系统来管理和领导复仇者联盟。联盟内部因此分裂为两派：一方由史蒂夫·罗杰斯领导，他主张维护成员自由，在免受政府干扰的情况下保护世界；另一方则追随托尼·斯塔克（小罗伯特·唐尼RobertDowneyJr.饰），他令人意外地决定支持政府的监管和责任制体系。神秘莫测的巴基（塞巴斯蒂安·斯坦SebastianStan饰）似乎成为内战的关键人物……,https://movie.douban.com/subject/25820460/
Captain America: Civil War,6390823,美国队长2 Captain America: The Winter Soldier,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2174824694.webp,安东尼·罗素,克里斯托弗·马库斯 / 斯蒂芬·麦克菲利,克里斯·埃文斯 / 斯嘉丽·约翰逊 / 塞巴斯蒂安·斯坦 / 安东尼·麦凯 / 海莉·阿特维尔 / 艾米丽·万凯普 / 罗伯特·雷德福 / 塞缪尔·杰克逊 / 寇碧·史莫德斯 / 卡兰·马尔韦 / 弗兰克·格里罗 / 斯坦·李 / 托比·琼斯 / 珍妮·艾加特 / 乔治·圣皮埃尔 / 盖瑞·山德林 / 阿兰·戴尔 / 黄经汉 / 阿德托库姆布斯·麦克马克 / 多米尼克·瑞恩斯,动作 / 科幻 / 冒险,美国, 英语 / 法语,2014-04-04(美国/中国大陆) / 2014-03-13(加州首映), 美队2 / 美国队长2：冬日战士 / 美国队长2：酷寒战士(台) / 美国队长2：寒冬战士 / 美国队长：冬兵 / Captain America 2,https://www.imdb.com/title/tt1843866,136分钟,2014,8.0,369990,71660,538,　　渐渐习惯了现代生活的美国队长史蒂夫·罗杰斯（克里斯·埃文斯ChrisEvans饰），在一次行动后隐隐嗅到神盾局内部所弥漫出来的凶险气味。而当得知神盾局正秘密进行的“洞察计划”后，他更为此感到愤怒。某天，神盾局指挥官尼克-法瑞（塞缪尔·杰克逊SamuelL.Jackson饰）遭到一群武装分子袭击，他拼尽全力将一支U盘交到美国队长手中，这里面藏着该局二战以来最重要且最可怕的秘密。在此之后，美国队长因涉嫌杀害尼克而遭到前局长亚历山大·皮尔斯（罗伯特·雷德福/RobertRedford饰）的通缉和追杀，逃亡中他得到黑寡妇（斯嘉丽·约翰逊ScarlettJohansson饰）和退伍老兵“猎鹰”（安东尼·麦凯AnthonyMackie饰）的帮助。　　他们必须争分夺秒解开神盾局的秘密，阻止“洞察计划”的施行……,https://movie.douban.com/subject/6390823/
Captain America: Civil War,30341209,美国队长：内战之路 Captain America: The Road to Civil War,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2557066372.webp,乔·罗素,,乔·罗素 / 安东尼·罗素 / 克里斯·埃文斯 / 凯文·费奇,纪录片,美国, 英语,2016-09-13(美国),,https://www.imdb.com/title/tt6073590,4分钟,2016,8.1,101,15,0,　　AmoredetailedlookatCap'sroleinthefractureandChrisEvans'performanceoftheiconicAvenger.,https://movie.douban.com/subject/30341209/
Captain America: Civil War,2138838,美国队长 Captain America: The First Avenger,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1075448129.webp,乔·庄斯顿,克里斯托弗·马库斯 / 斯蒂芬·麦克菲利 / 乔·西蒙 / 杰克·科比,克里斯·埃文斯 / 海莉·阿特维尔 / 塞巴斯蒂安·斯坦 / 汤米·李·琼斯 / 雨果·维文 / 多米尼克·库珀 / 理查德·阿米蒂奇 / 斯坦利·图齐 / 塞缪尔·杰克逊 / 托比·琼斯 / 尼尔·麦克唐纳 / 德里克·卢克 / 肯尼斯·崔 / 约翰·约瑟夫·菲尔德 / 娜塔莉·多默尔,动作 / 科幻 / 冒险,美国, 英语 / 挪威语 / 法语,2011-09-09(中国大陆) / 2011-07-19(加州首映) / 2011-07-22(美国), 复仇者先锋,https://www.imdb.com/title/tt0458339,124分钟(美国),2011,7.0,295773,51860,425,　　上世纪40年代，纳粹及其邪恶轴心的战火烧遍世界各个角落。居住在布鲁克林的小个子史蒂夫·罗格斯（克里斯·埃文斯ChrisEvans饰）心系国家，一心上阵杀敌，可是糟糕的体格让他始终被征兵办拒之门外。偶然的机会，在德籍科学家厄斯金博士（StanleyTucci饰）的帮助下，这个小个子男孩得以走入兵营，并接受了博士的试验，化身成为高大健壮、膂力过人的超级战士。与此同时，德国纳粹红骷髅部队的首领约翰·施密特（雨果·维文HugoWeaving饰）依靠超自然的力量建立起一支超级战队，企图称霸全世界。　　为了营救好友，史蒂夫以美国队长的形象闯入施密特的军营，正邪两大超级战士的战斗就此展开……,https://movie.douban.com/subject/2138838/
Captain America: Civil War,30341203,"团结即胜利，分裂即失败：美国队长3幕后制作 United We Stand, Divided We Fall: The Making of 'Captain America: Civil War'",https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2557071272.webp,凯文·费奇,,凯文·费奇 / 克里斯·埃文斯 / 乔·罗素 / 安东尼·罗素 / 小罗伯特·唐尼,纪录片,美国, 英语,2016-09-13(美国),,https://www.imdb.com/title/tt6073552,46分钟,2016,,,3,0,"　　Atwopartfeature.Part1(22:25)featurescastandcrewlookingbackatthestory'scomicbookoriginsanddiscussingthestory'sthematicdepthandrelevance,thelargeassortmentofcharactersfeaturedinthefilm,thedirectors'contributions,thecasts'abilitiestoperformcomplexstuntwork,makingvariousscenes,characterrelationshipsanddevelopmentinthefilm,sho...(展开全部)",https://movie.douban.com/subject/30341203/
Captain America: Civil War,5967023,西班牙内战 The Spanish Civil War,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2529119035.webp,NealAscherson,弗兰克·芬莱 / Enrique Lister / Ramón Serrano Súñer / Narcís Julián / Alvaro Delgado / Manuel Vazquez Guillen / Felix Moreno de la Cova / Pilar Primo de Rivera / Asuncion Martinez / Justino de Azcárate / Eduardo de Guzmán / Timoteo Ruiz / Juan Crespo / Emilio Bernuz / Eduardo Pons Prades / Dolores Ibárruri,弗兰克·芬莱 / Enrique Lister / Ramón Serrano Súñer / Narcís Julián / Alvaro Delgado / Manuel Vazquez Guillen / Felix Moreno de la Cova / Pilar Primo de Rivera / Asuncion Martinez / Justino de Azcárate / Eduardo de Guzmán / Timoteo Ruiz / Juan Crespo / Emilio Bernuz / Eduardo Pons Prades / Dolores Ibárruri,纪录片 / 历史 / 战争,英国, 英语 / 西班牙语,,,https://www.imdb.com/title/tt1718608,315 min（共6集，每集52分钟）,1983,9.3,65,25,1,"　　DocumentaryserieswhichusesfilmandeyewitnessaccountsfrombothsidesoftheconflictthatdividedSpainintheyearsleadinguptoWorldWarTwo,alsoplacingitinitsinternationalcontext.",https://movie.douban.com/subject/5967023/
Captain America: Civil War,3925072,美国队长 Captain America,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2494230675.webp,阿尔伯特·派恩,乔·西蒙 / 杰克·科比,马特·塞林格 / 罗尼·考克斯 / 尼德·巴蒂 / 达伦·麦克加文,动作 / 科幻,美国, 英语,1990, 美国上尉,https://www.imdb.com/title/tt0103923,97 分钟,1990,7.1,2649,324,6,　　在第二次世界大战期间，一个勇敢的爱国的美国士兵在做实验，成为一名新的超级战士，“美国队长”。为了破坏纳粹坏蛋“红骷髅”的火箭，美国队长直到20世纪90年代才被冻结。他重新觉醒，发现红骷髅已经改变了身份，现在正计划绑架美国总统。,https://movie.douban.com/subject/3925072/
Captain America: Civil War,30341208,钢铁侠：内战之路 Iron Man: The Road to Civil War,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2541364627.webp,凯文·费奇,,凯文·费奇 / 小罗伯特·唐尼,纪录片,美国, 英语,2016-09-13(美国),,https://www.imdb.com/title/tt6073592,4分钟,2016,8.5,183,14,0,"　　AcloserlookatTonyStark,whatinfluencedhimtotakehispositioninthisfilm,andhisrelationshipwithCaptainAmerica.",https://movie.douban.com/subject/30341208/
Captain America: Civil War,25942186,钢铁侠与美国队长：英雄集结 Iron Man & Captain America: Heroes United,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2193490904.webp,LeoRiley,布兰登·奥曼 / 亨利·吉尔罗伊,亚德里安·帕斯达 / 罗杰·克莱格·史密斯 / 弗雷德·塔特西奥 / 大卫·卡耶 / 克兰西·布朗 / 连姆·奥布赖恩 / 罗宾·阿特金·唐斯 / 迪·布拉雷·贝克尔,动作 / 科幻 / 动画,美国, 英语,2014-07-19(美国),,https://www.imdb.com/title/tt3911200,71分钟,2014,6.5,1799,443,3,　　在一个本应平和的日子里，美国队长（罗杰·克莱格·史密斯RogerCraigSmith配音）和钢铁侠（AdrianPasdar配音）两个好友彼此角力，互不服输，但彼此的友情也在这一过程中得到见证。另一方面，野心勃勃的红骷髅（LiamO'Brien配音）绝不甘心此前的败绩，他雇来掌握了复仇者联盟超级英雄们全部技能的模仿大师（ClancyBrown配音），发誓要彻底摧毁美国队长和钢铁侠这两个难缠的对手。按照之前的计划，一队九头蛇士兵入侵斯塔克的飞船，盗走了威力强大的斥力加农炮；与此同时，美国队长遭遇模仿大师，最终成为对方的俘虏，面临着被红骷髅转化的厄运。　　在红骷髅的阴谋驱使下，一对昔日好友成为了正邪死敌……,https://movie.douban.com/subject/25942186/
Rogue One: A Star Wars Story,25894431,星球大战外传：侠盗一号 Rogue One: A Star Wars Story,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2403049086.webp,加里斯·爱德华斯,克里斯·韦兹 / 托尼·吉尔罗伊 / 约翰·诺尔 / 加里·维塔 / 乔治·卢卡斯,菲丽希缇·琼斯 / 迭戈·卢纳 / 甄子丹 / 本·门德尔森 / 麦斯·米科尔森 / 艾伦·图代克 / 福里斯特·惠特克 / 姜文 / 里兹·阿迈德 / 乔纳森·阿里斯 / 尤妮斯·奥卢米德 / 克莱尔·陈 / 吉米·斯密茨 / 沃维克·戴维斯 / 马克·普雷斯顿 / 吉娜薇·欧瑞丽 / 詹姆斯·厄尔·琼斯,动作 / 科幻 / 冒险,美国, 英语,2017-01-06(中国大陆) / 2016-12-16(美国), 侠盗一号 / 星战外传1 / 侠盗一号：星球大战外传 / 星球大战：侠盗一号 / 罗格一号 / Star Wars Anthology: Rogue One / Star Wars: Rogue One / Rogue One,https://www.imdb.com/title/tt3748528,134分钟,2016,7.3,151542,43099,876,　　共和体制崩塌，银河帝国的阴影笼罩着宇宙文明每一个角落。为了加强对反抗势力的镇压，塔金主义直接催生了一种足以摧毁星球的超级武器——死星的诞生，而物理科学家盖伦·厄索（麦斯·米科尔森MadsMikkelsen饰）正是死星的主要设计者。厄索的女儿琴（菲丽希缇·琼斯FelicityJones饰）在童年时代与父母经历了生离死别，之后她被反抗组织领袖索•格雷拉（福里斯特·惠特克ForestWhitaker饰）所抚养长大。成年后琴罪行累累，成为帝国的阶下囚，最终却被反抗组织救出。从格雷拉那里她得知死星的存在，并见证了一个城市的灰飞烟灭。然而义军同盟决然不信死星的存在，万般无奈琴和飞行员卡西安·安多（迭戈·鲁纳DiegoLuna饰）等人孤身前往收藏着死星设计图的星球，攸关全宇宙命运的战争拉开了序幕……　　故事根据1977年《星球大战：新希望》片...(展开全部),https://movie.douban.com/subject/25894431/
